Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
Condition,Condition.clinicalStatus,1,1,Coded status,code,Whether the condition is currently active.,,,http://hl7.org/fhir/ValueSet/condition-clinical,REQUIRED (Min 1..1) AND MUST SUPPORT. Typically 'active' for all three emergency stages — 'resolved'/'inactive' are rare in an acute encounter but keep the element populated for consistency with facility-side Condition records that will later track resolution.
Diagnosis Code & Severity/Acuity,,,,,,,,,,
Condition,Condition.code,1,1,Coded concept,CodeableConcept,The actual diagnosis or complaint code.,,,http://hl7.org/fhir/ValueSet/condition-code (extensible) — ICD-10 for working/discharge stages,"REQUIRED (Min 1..1) AND MUST SUPPORT. For category=chief-complaint, code a symptom/complaint (SNOMED CT finding or a local symptom ValueSet) rather than forcing an ICD-10 diagnosis code — a chief complaint is not yet a diagnosis. For working-diagnosis/discharge-diagnosis, use ICD-10 consistent with your existing standards stack. FLAG FROM REAL HANDOVER DATA: the source system's condition_id values (e.g. 'ND91.Z') follow an ICD-11 pattern, not ICD-10 — confirm with the vendor and your terminology team which code system is actually authoritative before finalizing this binding; if it's genuinely ICD-11, this ValueSet needs updating across every profile that references diagnosis coding, not just this one."
Condition,Condition.severity,0,1,Coded concept,CodeableConcept,Triage-linked acuity/severity marker for this diagnosis.,,,http://hie.go.ke/fhir/ValueSet/em-diagnosis-severity (local — proposed) or SNOMED CT severity codes (mild | moderate | severe),"MUST SUPPORT (Min 0..1) — not every stage will carry a severity marker (rarely meaningful on a chief-complaint), but when present this is what feeds billing tier / SHA benefit classification, so the profile must be able to carry it."
Condition,Condition.bodySite,0,*,Coded concept,CodeableConcept,Anatomical site(s) relevant to the diagnosis.,,,http://hl7.org/fhir/ValueSet/body-site,"OPTIONAL — not must-support, but explicitly 0..* (not 0..1) so trauma cases with multiple co-occurring diagnoses across different body sites are supported without forcing an artificial single 'primary site'."
Timing — onset & recordedDate,,,,,,,,,,
Condition,Condition.onsetDateTime,0,1,Timestamp,dateTime,"When the condition/symptom is believed to have started, relative to arrival where possible.",,,n/a,MUST SUPPORT (Min 0..1) — granular timing matters for time-sensitive protocols (stroke/MI 'minutes matter'). Capture relative to EMIncidentEncounter/EMPOCEncounter.period.start where the exact onset time is unknown but time-since-arrival is clinically meaningful.
Condition,Condition.recordedDate,1,1,Timestamp,dateTime,When THIS diagnosis entry was recorded — distinct from onset.,,,n/a,"REQUIRED (Min 1..1) AND MUST SUPPORT. This is what lets you reconstruct the staging timeline (chief-complaint recorded at T0, working-diagnosis at T+12min, discharge-diagnosis at T+90min) even when clinical onset itself is unclear or unknown."
Condition,Condition.abatementDateTime,0,0,Timestamp,dateTime,When the condition resolved.,,,n/a,EXCLUDED (Min/Max 0..0) on this profile — resolution timing is not a meaningful concept for an acute emergency diagnosis stage; leave this to the facility-side/inpatient Condition profile if the episode continues.
Provenance — who recorded / asserted the diagnosis,,,,,,,,,,
Condition,Condition.recorder,0,1,Reference,Reference(Practitioner|PractitionerRole),"Who recorded this diagnosis entry — will differ by stage (EMT for working-diagnosis, ED physician for discharge-diagnosis).",,,n/a,"MUST SUPPORT (Min 0..1) — recommended to always populate in practice, but not forced to Min 1..1 since some system integrations may not reliably capture the individual recorder."
Condition,Condition.asserter,0,1,Reference,Reference(Patient|RelatedPerson|Practitioner|PractitionerRole),"Who originally asserted this — for category=chief-complaint this is often the patient or caller themselves, not a clinician.",,,n/a,"OPTIONAL — not must-support. Useful to distinguish 'patient said chest pain' (asserter=Patient) from 'EMT suspects ACS' (asserter=Practitioner), but not essential to core claims workflow."
Supporting Evidence & Notes,,,,,,,,,,
Condition,Condition.evidence,0,*,Nested structure,BackboneElement,Supporting evidence (labs/imaging) that led to a working or discharge diagnosis.,,,n/a,"OPTIONAL — not must-support at the EMS/point-of-care stage; becomes more relevant once the patient reaches facility-based workup (labs/imaging), so expect this to populate later in the episode rather than at EMPOCEncounter."
Condition,Condition.note,0,*,Annotation,Annotation,Free-text clinical notes about this diagnosis entry.,,,n/a,OPTIONAL — not must-support. Useful for capturing clinician reasoning but should never be the only place a coded severity/category value lives.
Expected Condition Instances per Encounter (stage multiplicity — not element cardinality),,,,,,,,,,
Condition,Condition (category=chief-complaint) — instance count,1,1,Resource instance count,Condition (resource),Expected number of chief-complaint Condition instances per emergency encounter.,,,n/a,"Minimum 1 expected per encounter — this is usually the very first Condition-shaped record created, often derived directly from caller-reported or patient-reported information."
Condition,Condition (category=working-diagnosis / differential-diagnosis) — instance count,0,*,Resource instance count,Condition (resource),Expected number of working/differential-diagnosis instances per emergency encounter.,,,n/a,0..* — zero if the team moves straight from chief-complaint to a confirmed discharge-diagnosis (common in clear-cut cases); multiple instances expected in complex/trauma cases where several differentials are tracked in parallel before narrowing down.
Condition,Condition (category=discharge-diagnosis) — instance count,0,*,Resource instance count,Condition (resource),Expected number of discharge-diagnosis instances per emergency encounter.,,,n/a,"0..* — typically 1, but deliberately not capped at 1: trauma cases legitimately close with multiple co-equal discharge diagnoses and no single 'primary'. Required (at least one) before the encounter/episode can be considered diagnostically closed for claims purposes, but that is an encounter-closure business rule, not a hard FHIR cardinality constraint on this profile."
